datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
1/1/2011 0:00,1,0,1,1,9.84,14.395,81,0,3,13,16
1/1/2011 1:00,1,0,1,1,9.02,13.635,80,0,8,32,40
1/1/2011 2:00,1,0,1,1,9.02,13.635,80,0,5,27,32
1/1/2011 3:00,1,0,1,1,9.84,14.395,75,0,3,10,13
1/1/2011 4:00,1,0,1,1,9.84,14.395,75,0,0,1,
1/1/2011 5:00,1,0,1,2,9.84,12.88,75,6.0032,0,1,
1/1/2011 6:00,1,0,1,1,9.02,13.635,80,0,2,0,
1/1/2011 7:00,1,0,1,1,8.2,12.88,86,0,1,2,3
1/1/2011 8:00,1,0,1,1,9.84,14.395,75,0,1,7,8
1/1/2011 9:00,1,0,1,1,13.12,17.425,76,0,8,6,14
1/1/2011 10:00,1,0,1,1,15.58,19.695,76,16.9979,12,24,36
1/1/2011 11:00,1,,1,1,14.76,16.665,81,19.0012,26,30,56
1/1/2011 12:00,1,,1,1,17.22,21.21,77,19.0012,29,55,84
1/1/2011 13:00,1,0,1,2,18.86,22.725,72,19.9995,47,47,94
1/1/2011 14:00,1,0,2,2,18.86,22.725,72,19.0012,35,71,106
1/1/2011 15:00,1,0,2,2,18.04,21.97,77,19.9995,40,70,110
1/1/2011 16:00,1,0,2,2,17.22,21.21,82,19.9995,41,52,93
1/1/2011 17:00,1,0,2,2,18.04,21.97,82,19.0012,15,52,67
1/1/2011 18:00,1,0,2,3,17.22,21.21,88,16.9979,9,26,35
1/1/2011 19:00,1,0,2,3,17.22,21.21,88,16.9979,6,31,37
1/1/2011 20:00,1,0,2,2,16.4,20.445,87,16.9979,11,25,36
1/1/2011 21:00,1,0,2,2,16.4,20.445,87,12.998,3,31,34
1/1/2011 22:00,1,0,2,2,16.4,20.445,94,15.0013,11,17,28
1/1/2011 23:00,1,0,2,2,18.86,22.725,88,19.9995,15,24,39
1/2/2011 0:00,1,0,2,2,18.86,22.725,88,19.9995,4,13,17
